k1,k2,lambda,val_mAP
28,1,0.23157894736842105,0.9680256114731829
28,2,0.6,0.9680249870231754
19,3,0.5736842105263158,0.9680248485379669
23,1,0.46842105263157896,0.9680243872805101
28,5,0.6,0.9680242305491586
23,4,0.6,0.9680242213323217
27,6,0.6,0.9680239145318208
34,4,0.6,0.9680238846100458
30,1,0.49473684210526314,0.9680238548752559
28,5,0.5473684210526315,0.968023594989832
28,2,0.5473684210526315,0.968023540055419
15,2,0.5736842105263158,0.9680234020326818
27,6,0.5473684210526315,0.9680233741719542
26,4,0.5736842105263158,0.9680230102732057
18,5,0.5473684210526315,0.9680228238156743
27,6,0.5736842105263158,0.9680226186628471
34,4,0.5736842105263158,0.9680222393374593
31,4,0.6,0.968022099769122
25,4,0.5736842105263158,0.9680220965787629
26,4,0.6,0.9680216859924392
27,6,0.49473684210526314,0.9680215210488541
28,2,0.5210526315789473,0.9680212186797614
28,6,0.5473684210526315,0.9680207085531954
27,5,0.5210526315789473,0.9680206214754408
23,1,0.44210526315789467,0.9680205910397025
24,4,0.5736842105263158,0.9680204774617577
32,4,0.6,0.9680202366235039
29,6,0.6,0.9680200936057572
18,2,0.5736842105263158,0.9680198028624619
22,4,0.6,0.9680197982941553
28,6,0.5210526315789473,0.9680186401406338
28,2,0.46842105263157896,0.9680183575682019
22,4,0.5473684210526315,0.9680177283931485
19,6,0.6,0.9680177153270956
31,1,0.5736842105263158,0.968017457983905
22,4,0.5736842105263158,0.9680170445967724
28,2,0.4157894736842105,0.9680169329703296
18,3,0.5210526315789473,0.9680168901041039
34,2,0.6,0.9680168429816557
27,4,0.49473684210526314,0.9680167396906652
19,5,0.5210526315789473,0.9680166943651245
27,1,0.28421052631578947,0.9680166828523078
29,5,0.5736842105263158,0.9680165089361149
28,6,0.5736842105263158,0.9680165047499453
19,4,0.44210526315789467,0.9680164903719229
26,4,0.5473684210526315,0.968016447994456
25,4,0.5473684210526315,0.9680161526809671
31,1,0.46842105263157896,0.9680160410994743
30,1,0.5473684210526315,0.9680158130830744
23,4,0.5473684210526315,0.9680157205101241
24,4,0.6,0.9680156472184984
34,1,0.6,0.9680151073063337
28,2,0.49473684210526314,0.968014645582639
29,2,0.6,0.9680145015409463
33,3,0.6,0.9680143974826866
29,5,0.6,0.9680143060882246
25,4,0.6,0.9680142365840159
24,4,0.5473684210526315,0.9680140834671026
16,3,0.5473684210526315,0.9680135830765784
15,3,0.5736842105263158,0.9680133811719699
27,7,0.5736842105263158,0.9680133259192518
18,4,0.44210526315789467,0.9680132079622267
30,1,0.46842105263157896,0.9680125567789246
30,1,0.44210526315789467,0.9680123512679424
30,1,0.5210526315789473,0.9680122225919681
22,4,0.5210526315789473,0.96801182334586
25,4,0.5210526315789473,0.9680117787607925
16,2,0.6,0.9680113934865227
31,1,0.5210526315789473,0.9680108817427886
29,6,0.5473684210526315,0.9680107436517107
22,1,0.28421052631578947,0.9680105381044704
26,6,0.6,0.9680103639561476
19,3,0.5473684210526315,0.9680102762733808
15,2,0.5473684210526315,0.9680097672832789
32,1,0.6,0.9680097120110761
33,1,0.44210526315789467,0.9680092660888054
27,2,0.5736842105263158,0.9680090189773752
27,7,0.5473684210526315,0.9680089531711379
31,1,0.44210526315789467,0.9680089168629762
29,6,0.5736842105263158,0.9680088995608318
23,1,0.4157894736842105,0.9680083602543929
27,2,0.6,0.9680083350236576
23,4,0.5210526315789473,0.9680082908406279
18,5,0.5210526315789473,0.9680080541225046
31,1,0.3894736842105263,0.9680078358391879
31,4,0.5736842105263158,0.9680076644923828
34,3,0.6,0.9680075137895874
26,5,0.5736842105263158,0.9680075015458738
28,2,0.44210526315789467,0.9680073812120467
26,5,0.5473684210526315,0.9680070616427381
31,1,0.5473684210526315,0.9680068649372936
33,2,0.6,0.9680061010526043
26,1,0.6,0.9680060096508893
28,3,0.6,0.9680059977381245
34,2,0.5210526315789473,0.9680058344276289
26,5,0.6,0.9680057205615964
27,3,0.6,0.9680053623672771
27,7,0.6,0.9680049822226557
30,1,0.4157894736842105,0.9680047986136645
29,4,0.5210526315789473,0.9680047622679029
22,4,0.49473684210526314,0.9680046561743368
34,3,0.5736842105263158,0.9680045062621352
32,4,0.5736842105263158,0.9680038727672006
33,3,0.5736842105263158,0.968003607908766
17,4,0.5736842105263158,0.968003573459953
24,4,0.5210526315789473,0.9680035504955303
30,1,0.3894736842105263,0.9680034810536136
28,3,0.5736842105263158,0.9680034046802118
29,2,0.5736842105263158,0.9680031738525854
26,1,0.5736842105263158,0.9680025972695103
23,4,0.49473684210526314,0.9680025238802215
31,1,0.4157894736842105,0.9680024965575658
16,2,0.5736842105263158,0.968002120998519
34,2,0.5473684210526315,0.9680014065291476
19,5,0.49473684210526314,0.9680012122540139
19,2,0.6,0.968001201060384
17,4,0.6,0.9680009081583486
30,6,0.6,0.9680006005157529
15,2,0.5210526315789473,0.9680001939738139
27,8,0.5210526315789473,0.9680000243928474
31,1,0.3631578947368421,0.9679999668706738
32,1,0.5736842105263158,0.9679997837751206
29,1,0.2578947368421053,0.9679995766377086
28,7,0.5736842105263158,0.967999541591831
28,7,0.5473684210526315,0.9679994290562609
34,1,0.5736842105263158,0.9679989951349709
28,1,0.20526315789473684,0.9679986403239579
28,7,0.6,0.9679983940099162
30,3,0.6,0.9679980635551407
30,1,0.3631578947368421,0.9679978244630693
33,6,0.5736842105263158,0.9679972576185178
25,4,0.49473684210526314,0.9679971328146094
34,1,0.5473684210526315,0.9679970844062
33,7,0.5473684210526315,0.9679970492950845
24,1,0.6,0.9679968565614415
27,8,0.6,0.9679968161277739
29,2,0.5473684210526315,0.9679967713692862
34,2,0.49473684210526314,0.9679966748247947
14,3,0.6,0.9679966109452456
24,1,0.5736842105263158,0.967996592320709
23,1,0.3894736842105263,0.9679965798257831
31,6,0.6,0.9679965464892556
34,2,0.5736842105263158,0.9679962790645901
30,5,0.6,0.9679960701798861
26,4,0.5210526315789473,0.967995273149148
29,3,0.6,0.9679952684864858
27,3,0.5736842105263158,0.9679952337763066
33,7,0.6,0.9679952053090617
33,5,0.6,0.9679951907207067
18,2,0.5473684210526315,0.9679951274146139
30,4,0.5473684210526315,0.9679950059130487
27,8,0.5736842105263158,0.9679949768471972
27,8,0.5473684210526315,0.9679944871718533
16,4,0.6,0.9679942223706832
33,6,0.5473684210526315,0.9679940895841789
30,2,0.5736842105263158,0.9679939105365414
25,6,0.6,0.9679936985944859
28,1,0.17894736842105263,0.967993398513083
33,6,0.6,0.9679924837472696
28,2,0.3894736842105263,0.9679924311751306
32,6,0.6,0.9679924202672414
29,7,0.6,0.967992107998806
19,6,0.5736842105263158,0.9679919341568456
27,2,0.5473684210526315,0.9679918528124398
27,7,0.5210526315789473,0.9679916548859109
26,6,0.5210526315789473,0.9679915761065578
30,6,0.5736842105263158,0.967991494850746
29,7,0.5736842105263158,0.9679914526876281
25,5,0.5736842105263158,0.9679912638930726
16,4,0.5736842105263158,0.9679912082073251
26,5,0.5210526315789473,0.9679906961295873
28,3,0.5473684210526315,0.9679906883143099
25,5,0.6,0.9679906592706826
25,5,0.5473684210526315,0.9679905628990814
31,1,0.3368421052631579,0.9679904434755082
28,4,0.49473684210526314,0.9679903054676571
26,1,0.5210526315789473,0.9679901843712064
26,1,0.5473684210526315,0.9679899359730745
30,2,0.6,0.967989733450703
30,7,0.5736842105263158,0.9679896819617242
26,6,0.5473684210526315,0.9679893333284196
30,6,0.5473684210526315,0.9679893167522571
25,1,0.6,0.9679890974767461
26,6,0.5736842105263158,0.9679890182828692
16,1,0.6,0.9679889629351952
16,1,0.5736842105263158,0.9679888272061511
16,1,0.5473684210526315,0.9679887089224745
33,7,0.5736842105263158,0.967988633388755
16,1,0.5210526315789473,0.9679885960604763
29,3,0.5736842105263158,0.9679880121836753
29,2,0.5210526315789473,0.9679878548743301
24,6,0.6,0.967987274203493
16,2,0.5473684210526315,0.967987269874009
29,2,0.49473684210526314,0.9679867915345095
30,1,0.3368421052631579,0.9679866651638127
33,2,0.5473684210526315,0.9679866020537692
31,6,0.5736842105263158,0.9679864314512784
18,5,0.49473684210526314,0.967986111444959
30,7,0.6,0.9679857671463625
30,1,0.31052631578947365,0.9679855159043115
31,6,0.5473684210526315,0.9679852788721632
23,4,0.46842105263157896,0.967985180840711
31,3,0.6,0.9679851267121996
23,5,0.5210526315789473,0.9679848620731447
19,3,0.5210526315789473,0.9679847903654253
16,1,0.49473684210526314,0.9679846450741224
33,2,0.5736842105263158,0.9679844294808474
34,4,0.5473684210526315,0.9679844196037384
25,1,0.5736842105263158,0.9679842807233748
17,3,0.6,0.967984134545849
29,7,0.5473684210526315,0.967983994765971
22,4,0.46842105263157896,0.9679839227333266
30,7,0.5473684210526315,0.9679837792691518
28,2,0.3631578947368421,0.967983762655186
33,3,0.5473684210526315,0.9679833865633872
23,5,0.5736842105263158,0.9679830771538465
17,4,0.5473684210526315,0.9679829726647042
34,3,0.5473684210526315,0.9679829661347551
31,1,0.31052631578947365,0.9679828274609641
24,4,0.49473684210526314,0.967982788704971
23,5,0.49473684210526314,0.9679827106330527
32,6,0.5736842105263158,0.967982659181293
26,1,0.49473684210526314,0.967982646623925
26,6,0.49473684210526314,0.9679825485401462
19,5,0.46842105263157896,0.9679824087872893
34,2,0.46842105263157896,0.9679821273291288
24,1,0.5473684210526315,0.9679820884669991
22,1,0.2578947368421053,0.9679818654037703
27,7,0.49473684210526314,0.967981794708752
26,7,0.5736842105263158,0.9679817649185887
33,4,0.5473684210526315,0.9679817513432163
29,6,0.5210526315789473,0.9679816718316081
19,4,0.4157894736842105,0.9679815193284372
23,6,0.6,0.9679815171293183
26,7,0.6,0.967981150197007
25,5,0.5210526315789473,0.9679809651317688
19,6,0.5473684210526315,0.9679806297428116
23,5,0.6,0.967980614927985
30,3,0.5736842105263158,0.9679806118072363
27,1,0.2578947368421053,0.9679805828758151
15,3,0.5473684210526315,0.9679802370956235
29,5,0.5473684210526315,0.9679799707333193
33,1,0.3631578947368421,0.9679798777743389
33,1,0.31052631578947365,0.9679795619117949
28,8,0.6,0.967979507814611
30,2,0.5473684210526315,0.9679792587663828
32,6,0.5473684210526315,0.9679792018938358
31,7,0.6,0.967979168422306
15,2,0.49473684210526314,0.967979071624524
23,5,0.5473684210526315,0.9679789810535125
19,6,0.5210526315789473,0.9679788737848294
28,1,0.15263157894736842,0.9679786626173661
18,3,0.49473684210526314,0.9679782714056443
18,4,0.4157894736842105,0.9679779741395357
32,7,0.6,0.9679778716069818
34,6,0.5736842105263158,0.9679774878703084
14,2,0.6,0.9679774429238961
34,6,0.6,0.9679773410391863
23,1,0.3631578947368421,0.9679773018217631
32,1,0.5473684210526315,0.9679772962815233
31,5,0.6,0.9679771607365425
28,5,0.5210526315789473,0.9679771226707433
24,5,0.6,0.967977051535608
25,6,0.5473684210526315,0.9679769961106438
28,3,0.5210526315789473,0.9679769907556812
32,3,0.6,0.9679769099315033
18,6,0.6,0.9679765750231953
33,2,0.5210526315789473,0.9679763168162755
33,1,0.4157894736842105,0.9679763107595318
16,1,0.46842105263157896,0.9679760979086757
26,1,0.46842105263157896,0.9679753390151632
24,5,0.5473684210526315,0.9679752753221217
28,8,0.5210526315789473,0.9679750345433155
27,2,0.5210526315789473,0.9679747412640265
16,2,0.5210526315789473,0.9679745803889814
24,5,0.5736842105263158,0.9679745208874585
25,6,0.5736842105263158,0.9679741000202953
31,3,0.5736842105263158,0.967974029233038
16,1,0.44210526315789467,0.9679736899474755
29,2,0.46842105263157896,0.9679735359289808
16,1,0.4157894736842105,0.967973488014779
28,7,0.5210526315789473,0.9679734739502992
18,2,0.5210526315789473,0.9679734602247465
28,1,0.12631578947368421,0.9679734340376553
16,1,0.3894736842105263,0.9679733552886511
16,1,0.3631578947368421,0.9679732659548158
34,1,0.49473684210526314,0.9679731532034096
19,2,0.5736842105263158,0.9679729802667043
29,8,0.6,0.9679729051659962
25,6,0.5210526315789473,0.9679727411058022
34,7,0.5736842105263158,0.9679727183598107
17,4,0.5210526315789473,0.9679724772337029
24,1,0.5210526315789473,0.9679724513471831
18,5,0.46842105263157896,0.967972448181453
28,8,0.5736842105263158,0.9679723783404519
33,1,0.3894736842105263,0.9679722539704668
25,6,0.49473684210526314,0.9679720240913562
25,7,0.6,0.9679718509714845
16,4,0.5473684210526315,0.9679718279857779
32,5,0.6,0.967971709302962
27,3,0.5473684210526315,0.9679716765683801
16,1,0.3368421052631579,0.967971603557666
28,6,0.49473684210526314,0.9679715155634917
26,4,0.49473684210526314,0.9679713592679806
19,6,0.49473684210526314,0.9679711581852026
26,7,0.5473684210526315,0.9679711558390167
24,5,0.5210526315789473,0.967971139044557
16,3,0.5210526315789473,0.9679709318042167
20,4,0.6,0.9679705747439737
31,7,0.5736842105263158,0.967970218140251
32,3,0.5736842105263158,0.9679701425211452
25,7,0.5736842105263158,0.9679698736291106
